"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Materials/PPM_KuwaharaFilter.PPM_KuwaharaFilter","0","6","2","1","117.577209","0","24"
"/Game/Materials/DefaultSpriteMaterial.DefaultSpriteMaterial","0","40","2","1","33.362320","0","312"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","145","1","0.000000","0","0"
"/Game/Materials/GlowingCrystal.GlowingCrystal","0","0","20","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Game/Materials/M_SpongeOrange.M_SpongeOrange","0","46","46","1","35.116394","0","47"
"/Game/Materials/M_FishC.M_FishC","0","132","137","1","84.590660","0","139"
"/Game/Materials/M_ScreenWave.M_ScreenWave","0","6","6","1","2.423558","0","6"
"/Game/Materials/M_FishB_2.M_FishB_2","0","132","137","1","83.802040","0","138"
"/Game/Materials/M_FishB.M_FishB","0","132","137","1","84.651787","0","137"
"/Game/Materials/M_FishA_2.M_FishA_2","0","132","1","1","85.324913","0","281"
"/Game/Materials/M_FishA.M_FishA","0","132","137","1","83.880852","0","138"
"/Game/Materials/M_Eel.M_Eel","0","28","28","1","20.453663","0","28"
"/Game/Materials/M_Coralline.M_Coralline","0","50","2","1","38.403362","0","106"
"/Game/Materials/M_Caustics.M_Caustics","0","145","7","1","106.103348","0","313"
"/Game/Materials/M_Bubbles.M_Bubbles","0","104","104","1","240.986572","0","104"
"/Game/Materials/M_Algae.M_Algae","0","46","46","1","34.958584","0","46"
"/Game/Materials/Mat_Koi.Mat_Koi","0","54","56","1","33.123528","0","56"
"/Game/Materials/Mat_HorseMackerel.Mat_HorseMackerel","0","67","69","1","40.407837","0","70"
"/Game/Materials/Mat_BlackRockFish.Mat_BlackRockFish","0","54","56","1","31.931707","0","56"
"/Game/Materials/M_Dirt.M_Dirt","0","145","145","1","104.576851","0","145"
"/Game/Materials/M_MS_Default_Material_VT.M_MS_Default_Material_VT","0","28","28","1","20.595644","0","28"
"/Game/Materials/HaiGui1.HaiGui1","0","28","28","1","20.178780","0","28"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","0","4","1","0.000000","0","0"
"/Game/Crystal_Mines/04_Materials/M_translucent_master.M_translucent_master","0","285","285","4","524.400879","0","285"
"/Game/Crystal_Mines/04_Materials/M_tesselation_pdo_master.M_tesselation_pdo_master","0","82","84","1","52.780746","0","84"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","56","6","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Game/Materials/M_Landscape.M_Landscape","0","60","122","6","19.227228","60","1548"
"/Game/Materials/M_URockE.M_URockE","0","46","1","1","33.969971","0","794"
"/Game/Materials/M_URockD.M_URockD","0","46","1","1","34.178928","0","506"
"/Game/Crystal_Mines/04_Materials/M_coal_master.M_coal_master","0","37","1","1","27.946007","0","438"
"/Game/Materials/M_Seaweed.M_Seaweed","0","82","1","1","57.174210","0","1417"
"/Game/Crystal_Mines/04_Materials/M_tesselation_master.M_tesselation_master","0","0","138","3","0.000000","0","92"
"/Game/Crystal_Mines/04_Materials/M_moss_master.M_moss_master","0","0","84","2","0.000000","0","42"
